name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating
animal_crossing_wild_world,ds,2005.0,simulation,2.5,3.45,5.33,0.86,86.0,8.7,E
halo_3,x360,2007.0,shooter,7.97,2.81,0.13,1.21,94.0,7.8,M
super_mario_64,n64,1996.0,platform,6.91,2.85,1.91,0.23,,,
pokemon_heartgold_pokemon_soulsilver,ds,2009.0,action,4.34,2.71,3.96,0.76,63.0,7.1,E10+
pokemon_omega_ruby_pokemon_alpha_sapphire,3ds,2014.0,role_playing,4.35,3.49,3.1,0.74,72.5,7.35,M
gran_turismo_4,ps2,2004.0,racing,3.01,0.01,1.1,7.53,89.0,8.5,E
super_mario_galaxy,wii,2007.0,platform,6.06,3.35,1.2,0.74,97.0,8.9,E
super_mario_land_2_6_golden_coins,gb,1992.0,adventure,6.16,2.04,2.69,0.29,,,
grand_theft_auto_iv,x360,2008.0,action,6.76,3.07,0.14,1.03,98.0,7.9,M
gran_turismo,ps,1997.0,racing,4.02,3.87,2.54,0.52,96.0,8.7,E
super_mario_3d_land,3ds,2011.0,platform,4.89,3.0,2.14,0.78,90.0,8.4,E
gran_turismo_5,ps3,2010.0,racing,2.96,4.82,0.81,2.11,84.0,7.5,E
call_of_duty_modern_warfare_2,ps3,2009.0,shooter,4.99,3.64,0.38,1.6,94.0,6.3,M
super_mario_all_stars,snes,1993.0,platform,5.99,2.15,2.12,0.29,,,
grand_theft_auto_iv,ps3,2008.0,action,4.76,3.69,0.44,1.61,98.0,7.5,M
pokemon_firered_pokemon_leafgreen,gba,2004.0,role_playing,4.34,2.65,3.15,0.35,74.5,8.2,T
super_mario_64,ds,2004.0,platform,5.01,3.07,1.25,0.97,70.0,8.4,E
call_of_duty_ghosts,x360,2013.0,shooter,6.73,2.56,0.04,0.91,73.0,2.6,M
just_dance_3,wii,2011.0,misc,5.95,3.11,0.0,1.06,74.0,7.8,E10+
new_super_mario_bros_2,3ds,2012.0,platform,3.66,3.14,2.47,0.63,78.0,7.2,E
mario_kart_64,n64,1996.0,racing,5.55,1.94,2.23,0.15,,,
halo_reach,x360,2010.0,shooter,7.04,1.95,0.08,0.79,91.0,7.9,M
final_fantasy_vii,ps,1997.0,role_playing,3.01,2.47,3.28,0.96,92.0,9.2,T
halo_4,x360,2012.0,shooter,6.65,2.28,0.04,0.74,87.0,7.0,M
gran_turismo_2,ps,1999.0,racing,3.88,3.42,1.69,0.5,93.0,9.0,T
just_dance_2,wii,2010.0,misc,5.8,2.85,0.01,0.78,74.0,7.3,E10+
call_of_duty_ghosts,ps3,2013.0,shooter,4.1,3.63,0.38,1.25,71.0,2.6,M
call_of_duty_4_modern_warfare,x360,2007.0,shooter,5.93,2.36,0.13,0.9,94.0,8.4,M
donkey_kong_country,snes,1994.0,platform,4.36,1.71,3.0,0.23,78.0,8.9,E
minecraft,x360,2013.0,misc,5.7,2.65,0.02,0.81,73.0,6.9,E10+
animal_crossing_new_leaf,3ds,2012.0,simulation,2.03,2.36,4.39,0.39,88.0,8.7,E
mario_party_ds,ds,2007.0,misc,4.4,1.85,1.98,0.68,72.0,7.8,E
the_elder_scrolls_v_skyrim,x360,2011.0,role_playing,5.05,2.79,0.1,0.85,96.0,8.4,M
super_mario_kart,snes,1992.0,racing,3.54,1.24,3.81,0.18,,,
fifa_16,ps4,2015.0,sports,1.12,6.12,0.06,1.28,82.0,4.3,E
halo_2,xb,2004.0,shooter,6.82,1.53,0.05,0.08,95.0,8.2,M
wii_party,wii,2010.0,misc,1.75,3.47,2.49,0.67,68.0,7.4,E
mario_party_8,wii,2007.0,misc,3.74,2.24,1.58,0.7,62.0,6.3,E
fifa_soccer_13,ps3,2012.0,action,1.06,5.01,0.13,1.97,88.0,6.6,E
goldeneye_007,n64,1997.0,shooter,5.8,2.01,0.13,0.15,79.0,,E
pokemon_black_2_pokemon_white_2,ds,2012.0,role_playing,2.79,1.72,3.14,0.41,74.5,7.0,M
final_fantasy_x,ps2,2001.0,role_playing,2.91,2.07,2.73,0.33,92.0,8.7,T
the_sims_3,pc,2009.0,simulation,0.99,6.42,0.0,0.6,86.0,7.6,T
mario_sonic_at_the_olympic_games,wii,2007.0,sports,2.57,3.86,0.66,0.91,73.0,6.82,E
star_wars_battlefront_2015,ps4,2015.0,shooter,2.99,3.49,0.22,1.28,76.0,5.75,M
final_fantasy_viii,ps,1999.0,role_playing,2.28,1.72,3.63,0.23,90.0,8.6,T
pac_man,2600,1982.0,puzzle,7.28,0.45,0.0,0.08,,,
pokémon_platinum_version,ds,2008.0,role_playing,2.76,1.72,2.69,0.54,83.0,8.5,E
grand_theft_auto_liberty_city_stories,psp,2005.0,action,2.9,2.81,0.24,1.73,88.0,7.6,M
call_of_duty_advanced_warfare,ps4,2014.0,shooter,2.81,3.48,0.14,1.23,83.0,5.7,M
the_legend_of_zelda_ocarina_of_time,n64,1998.0,action,4.1,1.89,1.45,0.16,89.0,8.6,T
fifa_17,ps4,2016.0,sports,0.66,5.75,0.08,1.11,85.0,5.0,E
crash_bandicoot_2_cortex_strikes_back,ps,1997.0,platform,3.78,2.17,1.31,0.31,,,
super_smash_bros_for_wii_u_and_3ds,3ds,2014.0,fighting,3.27,1.37,2.43,0.48,70.5,7.5,T
super_mario_galaxy_2,wii,2010.0,platform,3.56,2.35,0.98,0.62,97.0,9.1,E
super_mario_bros_2,nes,1988.0,platform,5.39,1.18,0.7,0.19,,,
call_of_duty_black_ops_3,xone,2015.0,shooter,4.59,2.11,0.01,0.68,76.0,5.75,M
call_of_duty_world_at_war,x360,2008.0,shooter,4.81,1.88,0.0,0.69,84.0,7.6,M
battlefield_3,x360,2011.0,shooter,4.46,2.11,0.06,0.69,84.0,7.4,M
need_for_speed_underground,ps2,2003.0,racing,3.27,2.83,0.08,1.02,85.0,8.6,E
just_dance,wii,2009.0,misc,3.48,2.99,0.0,0.73,49.0,8.0,E10+
battlefield_3,ps3,2011.0,shooter,2.85,2.89,0.35,1.08,85.0,7.5,M
fallout_4,ps4,2015.0,role_playing,2.53,3.27,0.24,1.13,87.0,6.5,M
tekken_3,ps,1998.0,fighting,3.27,2.22,1.4,0.29,96.0,9.1,T
the_legend_of_zelda_twilight_princess,wii,2006.0,action,3.74,2.14,0.6,0.68,95.0,9.0,T
pokemon_sun_moon,3ds,2016.0,role_playing,2.98,1.45,2.26,0.45,83.0,7.63,T
crash_bandicoot_3_warped,ps,1998.0,platform,3.68,1.75,1.42,0.28,91.0,8.9,E
mario_kart_8,wiiu,2014.0,racing,3.15,2.15,1.28,0.51,88.0,9.1,E
super_smash_bros_melee,gc,2001.0,fighting,4.41,1.04,1.39,0.22,92.0,9.1,T
mario_kart_double_dash,gc,2003.0,racing,4.12,1.77,0.87,0.19,67.0,7.95,E
need_for_speed_underground_2,ps2,2004.0,racing,2.71,3.02,0.08,1.09,82.0,8.6,E
medal_of_honor_frontline,ps2,2002.0,shooter,2.93,2.75,0.17,0.99,88.0,8.5,T
crash_bandicoot,ps,1996.0,platform,3.23,2.35,0.94,0.3,,,
just_dance_4,wii,2012.0,misc,4.05,2.16,0.0,0.55,74.0,7.3,E10+
gears_of_war_2,x360,2008.0,shooter,4.15,1.9,0.06,0.64,93.0,7.7,M
uncharted_3_drake_s_deception,ps3,2011.0,action,2.77,2.75,0.19,1.03,92.0,8.3,T
zumba_fitness,wii,2010.0,sports,3.45,2.59,0.0,0.66,42.0,4.65,E
call_of_duty_4_modern_warfare,ps3,2007.0,shooter,3.11,2.26,0.28,1.03,94.0,8.4,M
uncharted_2_among_thieves,ps3,2009.0,action,3.27,2.2,0.21,0.98,96.0,8.8,T
fifa_12,ps3,2011.0,sports,0.84,4.3,0.11,1.39,71.83,6.5,E
big_brain_academy,ds,2005.0,misc,1.66,2.75,1.6,0.62,74.0,7.4,E
the_legend_of_zelda,nes,1986.0,action,3.74,0.93,1.69,0.14,,,
red_dead_redemption,ps3,2010.0,action,2.79,2.53,0.17,0.99,95.0,8.8,M
fifa_14,ps3,2013.0,sports,0.78,4.24,0.07,1.37,86.0,4.3,E
assassin_s_creed_iii,ps3,2012.0,action,2.64,2.52,0.16,1.12,85.0,6.9,M
donkey_kong_country_returns,wii,2010.0,platform,3.17,1.79,1.03,0.46,87.0,8.6,E
halo_combat_evolved,xb,2001.0,shooter,4.98,1.3,0.08,0.07,97.0,8.6,M
the_elder_scrolls_v_skyrim,ps3,2011.0,role_playing,2.55,2.6,0.25,1.0,92.0,6.4,M
pokémon_emerald_version,gba,2004.0,role_playing,2.57,1.58,2.06,0.21,76.0,9.0,E
kingdom_hearts,ps2,2002.0,role_playing,3.64,1.2,1.49,0.07,85.0,8.8,E
pokémon_crystal_version,gb,2000.0,role_playing,2.55,1.56,1.29,0.99,83.0,8.4,T
halo_3_odst,x360,2009.0,shooter,4.34,1.34,0.06,0.61,83.0,7.1,M
red_dead_redemption,x360,2010.0,action,3.7,1.95,0.09,0.58,95.0,9.0,M
super_mario_sunshine,gc,2002.0,platform,4.01,1.26,0.87,0.17,92.0,8.6,E
street_fighter_ii_the_world_warrior,snes,1992.0,fighting,2.47,0.83,2.87,0.12,,,
world_of_warcraft,pc,2004.0,role_playing,0.08,6.21,0.0,0.0,93.0,7.3,T
driver,ps,1999.0,action,3.11,2.8,0.02,0.33,87.0,8.1,T
gears_of_war_3,x360,2011.0,shooter,4.05,1.59,0.07,0.5,91.0,7.8,M
kinect_sports,x360,2010.0,sports,3.92,1.73,0.03,0.51,73.0,7.4,E10+
gears_of_war,x360,2006.0,shooter,3.54,1.88,0.07,0.6,94.0,8.3,M
fifa_15,ps4,2014.0,sports,0.8,4.33,0.05,0.9,82.0,5.7,E
metal_gear_solid_2_sons_of_liberty,ps2,2001.0,action,2.45,2.01,0.87,0.72,96.0,8.7,M
sonic_the_hedgehog_2,gen,1992.0,platform,4.47,1.2,0.16,0.19,,,
metal_gear_solid,ps,1998.0,action,3.18,1.83,0.78,0.24,94.0,9.4,M
metal_gear_solid_4_guns_of_the_patriots,ps3,2008.0,action,2.63,1.71,0.83,0.82,94.0,8.7,M
final_fantasy_xii,ps2,2006.0,role_playing,1.88,0.0,2.33,1.74,92.0,7.6,T
the_last_of_us,ps3,2013.0,action,2.41,2.18,0.28,0.99,95.0,9.1,M
littlebigplanet,ps3,2008.0,platform,2.8,1.98,0.17,0.87,95.0,6.8,E
resident_evil_2,ps,1998.0,action,1.88,1.47,2.02,0.45,89.0,9.2,M
dragon_quest_ix_sentinels_of_the_starry_skies,ds,2009.0,role_playing,0.63,0.67,4.35,0.15,87.0,8.8,E10+
tekken_2,ps,1996.0,fighting,2.26,1.89,1.36,0.23,89.0,8.9,T
destiny,ps4,2014.0,shooter,2.49,2.07,0.16,0.92,76.0,6.1,T
lego_star_wars_the_complete_saga,wii,2007.0,action,3.57,1.55,0.0,0.51,80.0,8.9,E10+
cooking_mama,ds,2006.0,simulation,3.07,1.91,0.07,0.57,67.0,7.2,E
tetris,nes,1988.0,puzzle,2.97,0.69,1.81,0.11,,,
super_smash_bros,n64,1999.0,fighting,2.95,0.6,1.97,0.04,,,
assassin_s_creed_ii,ps3,2009.0,action,2.54,1.93,0.21,0.86,91.0,8.6,M
assassin_s_creed,x360,2007.0,adventure,3.28,1.64,0.07,0.56,81.0,7.7,M
forza_motorsport_3,x360,2009.0,racing,2.99,1.9,0.1,0.5,92.0,8.0,E
super_mario_advance,gba,2001.0,platform,3.14,1.24,0.91,0.2,84.0,7.8,E
monster_hunter_freedom_unite,psp,2008.0,role_playing,0.47,0.55,4.13,0.34,81.0,8.7,T
batman_arkham_city,ps3,2011.0,action,2.71,1.85,0.11,0.81,96.0,8.6,T
grand_theft_auto_v,xone,2014.0,action,2.81,2.19,0.0,0.47,97.0,7.9,M
mario_kart_super_circuit,gba,2001.0,racing,2.62,1.64,0.99,0.23,93.0,8.3,E
super_mario_world,gba,2001.0,platform,3.21,1.11,0.95,0.2,70.5,7.9,E
pokemon_stadium,n64,1999.0,strategy,3.18,1.24,0.94,0.09,73.0,8.65,E
crash_bandicoot_the_wrath_of_cortex,ps2,2001.0,platform,2.07,2.29,0.24,0.82,66.0,7.1,E
call_of_duty_world_at_war,ps3,2008.0,shooter,2.73,1.83,0.0,0.83,85.0,7.6,M
uncharted_4_a_thief_s_end,ps4,2016.0,shooter,1.85,2.5,0.19,0.85,93.0,7.9,T
dr_mario,gb,1989.0,puzzle,2.18,0.96,2.0,0.2,,,
final_fantasy_xiii,ps3,2009.0,role_playing,1.74,1.21,1.87,0.51,83.0,7.3,T
pokemon_pinball,gb,1999.0,misc,3.02,1.12,1.01,0.16,66.0,7.63,E
final_fantasy_ix,ps,2000.0,role_playing,1.62,0.77,2.78,0.14,94.0,8.9,T
assassin_s_creed_iii,x360,2012.0,action,3.13,1.69,0.03,0.44,84.0,6.7,M
final_fantasy_x_2,ps2,2003.0,role_playing,1.92,1.08,2.11,0.17,85.0,6.6,T
donkey_kong_64,n64,1999.0,platform,3.33,0.79,1.09,0.06,,,
call_of_duty_advanced_warfare,xone,2014.0,shooter,3.22,1.55,0.01,0.48,81.0,5.4,M
minecraft,ps3,2014.0,misc,2.03,2.37,0.0,0.87,73.5,7.5,E10+
assassin_s_creed_ii,x360,2009.0,action,3.11,1.55,0.08,0.51,90.0,8.8,M
tomb_raider_ii,ps,1997.0,action,2.3,2.46,0.2,0.28,85.0,8.3,T
madden_nfl_2004,ps2,2003.0,sports,4.26,0.26,0.01,0.71,94.0,8.5,E
tomodachi_life,3ds,2013.0,simulation,0.97,2.11,1.9,0.24,51.0,4.8,E
new_super_mario_bros_u,wiiu,2012.0,platform,2.3,1.34,1.27,0.32,84.0,8.1,E
dragon_quest_viii_journey_of_the_cursed_king,ps2,2004.0,role_playing,0.65,0.75,3.61,0.2,89.0,8.8,T
super_mario_bros_3,gba,2003.0,platform,2.93,1.25,0.83,0.2,69.0,7.85,E
professor_layton_and_the_curious_village,ds,2007.0,puzzle,1.21,2.43,1.03,0.52,85.0,8.6,E
super_mario_land_3_wario_land,gb,1994.0,platform,2.49,0.98,1.57,0.15,,,
fifa_soccer_13,x360,2012.0,action,1.09,3.47,0.03,0.57,90.0,6.1,E
donkey_kong_country_2_diddy_s_kong_quest,snes,1995.0,platform,2.1,0.74,2.2,0.11,,,
diablo_iii,pc,2012.0,role_playing,2.44,2.16,0.0,0.54,88.0,4.0,M
medal_of_honor_rising_sun,ps2,2003.0,shooter,1.98,2.23,0.13,0.8,68.0,7.6,T
kirby_s_dream_land,gb,1992.0,platform,2.71,0.61,1.7,0.11,,,
microsoft_flight_simulator,pc,1996.0,simulation,3.22,1.69,0.0,0.2,,,
guitar_hero_ii,ps2,2006.0,misc,3.81,0.63,0.0,0.68,92.0,8.5,T
fable_iii,x360,2010.0,role_playing,3.59,1.08,0.05,0.38,80.0,6.5,M
mario_sonic_at_the_olympic_games,ds,2008.0,sports,1.63,2.45,0.44,0.57,67.0,7.05,E
resident_evil_5,ps3,2009.0,action,1.96,1.41,1.08,0.64,84.0,7.5,M
the_legend_of_zelda_phantom_hourglass,ds,2007.0,action,1.85,1.8,0.95,0.48,90.0,8.0,E
super_mario_bros,gb,1999.0,platform,3.4,1.3,0.15,0.22,,,
fifa_soccer_11,ps3,2010.0,sports,0.61,3.28,0.06,1.12,89.0,8.0,E
resident_evil,ps,1996.0,action,2.05,1.16,1.11,0.73,91.0,9.0,M
grand_theft_auto_vice_city_stories,psp,2006.0,action,1.7,1.99,0.16,1.18,86.0,8.0,M
tony_hawk_s_pro_skater,ps,1999.0,sports,3.42,1.38,0.02,0.2,92.0,9.2,T
warzone_2100,ps,1999.0,strategy,2.79,1.89,0.0,0.33,73.0,8.65,E
spyro_the_dragon,ps,1998.0,platform,3.36,1.36,0.07,0.21,82.5,8.55,E
guitar_hero_iii_legends_of_rock,ps2,2007.0,misc,3.49,0.01,0.01,1.48,82.0,8.2,T
link_s_crossbow_training,wii,2007.0,shooter,3.05,1.17,0.29,0.46,68.0,7.1,T
pokemon_mystery_dungeon_explorers_of_time_explorers_of_darkness,ds,2007.0,role_playing,1.83,1.19,1.54,0.37,66.0,7.45,T
fallout_3,x360,2008.0,role_playing,3.4,0.99,0.09,0.45,93.0,8.5,M
uncharted_drake_s_fortune,ps3,2007.0,action,2.31,1.72,0.12,0.77,88.0,8.1,T
madden_nfl_06,ps2,2005.0,sports,3.98,0.26,0.01,0.66,88.0,8.0,E
diddy_kong_racing,n64,1997.0,racing,2.91,0.99,0.89,0.1,,7.6,E
monster_hunter_freedom_3,psp,2010.0,role_playing,0.0,0.0,4.87,0.0,72.0,7.4,T
super_smash_bros_for_wii_u_and_3ds,wiiu,2014.0,fighting,2.6,1.08,0.81,0.38,70.5,7.5,T
dr_mario,nes,1990.0,puzzle,2.62,0.6,1.52,0.1,,,
starcraft_ii_wings_of_liberty,pc,2010.0,strategy,2.57,1.68,0.0,0.58,93.0,8.2,T
assassin_s_creed,ps3,2007.0,adventure,1.91,2.0,0.09,0.82,81.0,7.3,M
god_of_war_iii,ps3,2010.0,action,2.74,1.33,0.12,0.61,92.0,8.7,M
crash_team_racing,ps,1999.0,racing,2.57,1.57,0.44,0.21,88.0,9.0,E
lego_star_wars_the_complete_saga,ds,2007.0,action,2.83,1.48,0.0,0.45,80.0,5.4,E
driver_2,ps,2000.0,action,2.36,2.1,0.02,0.25,62.0,7.7,T
batman_arkham_city,x360,2011.0,action,2.99,1.27,0.04,0.42,94.0,8.7,T
the_last_of_us,ps4,2014.0,action,1.88,2.0,0.07,0.77,95.0,9.1,M
the_simpsons_hit_run,ps2,2003.0,racing,1.73,2.19,0.0,0.79,67.0,7.95,E
tony_hawk_s_pro_skater_2,ps,2000.0,sports,3.05,1.41,0.02,0.2,98.0,7.7,T
the_lord_of_the_rings_the_two_towers,ps2,2002.0,action,1.94,1.95,0.08,0.7,82.0,8.2,T
tomb_raider,ps,1996.0,action,2.29,1.97,0.13,0.24,91.0,8.6,T
animal_crossing_city_folk,wii,2008.0,simulation,1.82,1.12,1.32,0.36,73.0,7.6,E
uncharted_the_nathan_drake_collection,ps4,2015.0,action,2.07,1.71,0.08,0.76,86.0,8.1,T
the_legend_of_zelda_a_link_to_the_past,snes,1991.0,action,2.42,0.91,1.15,0.13,95.0,9.1,E
the_legend_of_zelda_the_wind_waker,gc,2002.0,action,2.6,0.99,0.89,0.13,96.0,8.9,E
guitar_hero_iii_legends_of_rock,wii,2007.0,misc,3.04,1.11,0.0,0.43,86.0,8.4,T
luigi_s_mansion_dark_moon,3ds,2013.0,action,1.8,1.39,1.11,0.29,86.0,8.4,E
forza_motorsport_4,x360,2011.0,racing,2.08,1.97,0.06,0.46,91.0,8.2,E
mario_sonic_at_the_olympic_winter_games,wii,2009.0,sports,1.87,1.96,0.22,0.48,75.0,7.43,E
madden_nfl_2005,ps2,2004.0,sports,4.18,0.26,0.01,0.08,91.0,7.9,E
guitar_hero_iii_legends_of_rock,x360,2007.0,misc,3.19,0.91,0.01,0.42,85.0,7.9,T
pitfall,2600,1981.0,platform,4.21,0.24,0.0,0.05,,,
madden_nfl_07,ps2,2006.0,sports,3.63,0.24,0.01,0.61,84.0,8.2,E
halo_5_guardians,xone,2015.0,shooter,2.78,1.27,0.03,0.41,84.0,6.4,T
spider_man_the_movie,ps2,2002.0,action,2.71,1.51,0.03,0.23,76.0,7.9,E
dragon_quest_vii_warriors_of_eden,ps,2000.0,role_playing,0.2,0.14,4.1,0.02,83.0,8.4,T
call_of_duty_infinite_warfare,ps4,2016.0,shooter,1.61,2.0,0.15,0.71,77.0,3.4,M
god_of_war,ps2,2005.0,action,2.71,1.29,0.02,0.43,94.0,8.9,M
splatoon,wiiu,2015.0,shooter,1.54,1.18,1.46,0.26,81.0,8.5,E10+
nintendo_land,wiiu,2012.0,misc,2.52,1.11,0.46,0.33,77.0,7.9,E10+
tony_hawk_s_pro_skater_3,ps2,2001.0,sports,2.66,1.29,0.01,0.46,97.0,7.5,T
winning_eleven_pro_evolution_soccer_2007,ps2,2006.0,sports,0.1,2.39,1.05,0.86,86.0,8.9,E
the_elder_scrolls_iv_oblivion,x360,2006.0,role_playing,2.82,1.03,0.13,0.4,94.0,8.7,M
zelda_ii_the_adventure_of_link,nes,1987.0,adventure,2.19,0.5,1.61,0.08,,,
need_for_speed_most_wanted,ps2,2005.0,racing,2.03,1.79,0.08,0.47,82.0,9.1,T
michael_jackson_the_experience,wii,2010.0,misc,2.64,1.33,0.01,0.39,56.0,8.3,E10+
call_of_duty_advanced_warfare,ps3,2014.0,shooter,1.56,1.93,0.19,0.68,80.67,4.8,M
resistance_fall_of_man,ps3,2006.0,shooter,1.74,1.72,0.14,0.75,86.0,8.1,M
sonic_the_hedgehog,gen,1991.0,platform,3.03,0.91,0.26,0.13,44.5,4.25,E10+
kingdom_hearts_ii,ps2,2005.0,role_playing,2.2,0.58,1.38,0.17,87.0,9.0,E10+
the_legend_of_zelda_ocarina_of_time,3ds,2011.0,action,2.09,1.31,0.62,0.31,65.5,6.7,E10+
super_mario_3d_world,wiiu,2013.0,platform,2.11,1.16,0.73,0.32,93.0,9.0,E
minecraft,ps4,2014.0,misc,1.48,2.02,0.14,0.68,73.5,7.5,E10+
asteroids,2600,1980.0,shooter,4.0,0.26,0.0,0.05,,,
call_of_duty_advanced_warfare,x360,2014.0,shooter,2.77,1.11,0.0,0.4,80.67,4.9,M
fifa_15,ps3,2014.0,sports,0.58,3.02,0.04,0.64,82.0,4.5,E
fable_ii,x360,2008.0,role_playing,2.51,1.24,0.11,0.41,89.0,6.5,M
namco_museum,gba,2001.0,misc,3.0,1.11,0.05,0.07,79.0,7.3,E
batman_arkham_asylum,ps3,2009.0,action,2.24,1.31,0.07,0.61,91.0,8.9,T
metal_gear_solid_3_snake_eater,ps2,2004.0,action,1.46,0.0,0.83,1.93,91.0,9.3,M
assassin_s_creed_revelations,ps3,2011.0,action,1.41,2.01,0.1,0.7,80.0,7.5,M
fallout_4,xone,2015.0,role_playing,2.51,1.32,0.01,0.38,88.0,6.2,M
fifa_14,x360,2013.0,sports,0.92,2.89,0.01,0.4,84.0,4.2,E
daxter,psp,2006.0,platform,2.45,1.01,0.0,0.75,85.0,8.7,E10+
warcraft_ii_tides_of_darkness,pc,1995.0,strategy,1.7,2.27,0.0,0.23,,,
fifa_soccer_06,ps2,2005.0,sports,0.78,2.55,0.04,0.84,80.0,7.8,E
eyetoy_play,ps2,2003.0,misc,0.88,2.3,0.2,0.83,80.0,7.5,E
gran_turismo_5_prologue,ps3,2007.0,racing,1.28,1.82,0.57,0.52,80.0,7.1,E
assassin_s_creed_revelations,x360,2011.0,action,2.25,1.47,0.04,0.43,80.0,7.2,M
fifa_12,x360,2011.0,sports,0.84,2.78,0.02,0.53,71.83,6.5,E
teenage_mutant_ninja_turtles,nes,1989.0,action,3.38,0.44,0.31,0.04,60.75,8.48,E
street_fighter_iv,ps3,2009.0,fighting,2.03,1.04,0.58,0.52,94.0,7.3,T
excitebike,nes,1984.0,racing,2.04,0.48,1.57,0.07,,,
frogger,ps,1997.0,action,3.79,0.27,0.0,0.11,85.0,8.3,T
madden_nfl_2003,ps2,2002.0,sports,3.36,0.21,0.01,0.56,95.0,7.7,E
half_life,pc,1997.0,shooter,4.03,0.0,0.09,0.0,96.0,9.1,M
super_mario_world_2_yoshi_s_island,snes,1995.0,platform,1.65,0.61,1.76,0.09,,,
fifa_soccer_07,ps2,2006.0,sports,0.71,2.48,0.03,0.89,72.0,7.3,E
